№,Название книги,Автор,Год выхода,Ожидания,Причина плохих продаж
1,The Casual Vacancy,Дж. К. Роулинг,2012,Первый взрослый роман автора,"Мрачная тематика, разрыв с фанатской аудиторией"
2,Freedom,Джонатан Франзен,2010,Продолжение «Коррекций»,"Сложный сюжет, тяжеловесность для массового читателя"
3,The Luminaries,Эллиот Уэй,2013,Букеровская премия,"Сложный стиль, ограниченная аудитория"
4,A Little Life,Ханья Янагихара,2015,Культовый статус,"Тяжелая тематика, эмоциональная нагрузка"
5,Billy Summers,Стивен Кинг,2021,Новый роман короля хоррора,"Уход от привычного жанра, меньший интерес фанатов"
6,The Goldfinch,Донна Тартт,2013,Пулитцеровская премия,"Сложность и длина, не для массового рынка"
7,The Night Circus,Эрин Моргенштерн,2011,Культ у фанатов,Недостаточно массовый интерес
8,The Story of Edgar Sawtelle,Дэвид Уинтерс,2008,Похвальный роман,Недостаток маркетинга и узнаваемости
9,Never Let Me Go,Кадзуо Исигуро,2005,Высокая критика,"Умеренные продажи, не вошла в массовый топ"
10,The Secret History,Донна Тартт,1992,Культовая после 2000-х,"Изначально низкие продажи, долго нарабатывала аудиторию"
11,"Beautiful World, Where Are You",Салли Руни,2021,Голос поколения,"Продажи ниже предыдущих книг, слабее маркетинг"
12,"South of the Border, West of the Sun",Харуки Мураками,2000,Популярный автор,Слабые продажи за пределами Японии
13,The Every,Дэйв Эггерс,2021,Продолжение успешного романа,Слабый интерес читателей
14,The Night Film,Мариша Пессл,2013,Успех первого романа,"Не оправдал ожиданий, слабые продажи"
15,The Testaments,Маргарет Этвуд,2019,Продолжение 'Рассказа служанки',"Стартовые продажи, но резкий спад интереса"
16,American Gods,Нил Гейман,2001,Культовый статус,Слабые продажи до выхода сериала
17,Sharp Objects,Гиллиан Флинн,2006,Известный автор,Продажи уступали другим романам автора
18,The Windup Girl,Паоло Бачигалупи,2009,Критическое признание,Сложная тематика для широкой аудитории
19,Milk and Honey,Рупи Каур,2014,Вирусный успех в соцсетях,Низкие продажи в традиционных магазинах
20,Citizen: An American Lyric,Клэр Джилберт,2014,Критический успех,Узкая аудитория ограничила продажи
